  N,  K, P(N:K)
  2,  3,    NaN
  2,  4,    NaN
  2,  5,    NaN
  7,  1,  0.024
  4,  1,  0.083
  2,  1,  0.500
  4,  2,  0.197
  2,  7,    NaN
  2,  2,  1.000
  2,  6,    NaN
  2,  9,    NaN
  2, 10,    NaN
  5,  3,  0.200
  4,  3,  0.341
  6,  1,  0.033
  3,  1,  0.167
  8,  1,  0.018
  5,  2,  0.116
  3,  2,  0.400
  2,  8,    NaN
  2, 11,    NaN
  2, 14,    NaN
  3,  3,  0.650
  2, 15,    NaN
  2, 12,    NaN
  2, 16,    NaN
  2, 13,    NaN
  4,  4,  0.501
  3,  4,  0.867
  3,  5,  1.000
  3,  6,  1.000
  3,  7,    NaN
  3,  8,    NaN
  3,  9,    NaN
  5,  1,  0.050
  4,  5,  0.658
  6,  2,  0.076
  3, 10,    NaN
  3, 11,    NaN
  7,  2,  0.053
  5,  4,  0.302
  4,  6,  0.793
  8,  2,  0.040
  3, 12,    NaN
  3, 13,    NaN
  4,  7,  0.895
  3, 14,    NaN
  3, 15,    NaN
  3, 16,    NaN
  4, 10,  1.000
  4,  8,  0.960
  4,  9,  0.991
  6,  3,  0.130
  4, 13,    NaN
  4, 14,    NaN
  4, 15,    NaN
  4, 16,    NaN
  4, 11,  1.000
  4, 12,  1.000
  5,  5,  0.417
  7,  3,  0.090
  6,  4,  0.196
  8,  3,  0.066
  5,  6,  0.536
  5,  7,  0.649
  7,  4,  0.135
  6,  5,  0.274
  5,  8,  0.750
  5,  9,  0.832
  5, 10,  0.895
  5, 16,  1.000
  5, 14,  0.994
  5, 11,  0.939
  6,  6,  0.362
  5, 15,  0.998
  5, 12,  0.968
  5, 13,  0.985
  8,  4,  0.098
  7,  5,  0.189
  6,  8,  0.551
  6,  7,  0.456
  6,  9,  0.643
  8,  5,  0.137
  7,  6,  0.253
  6, 10,  0.724
  8,  6,  0.183
  7,  7,  0.324
  7,  8,  0.401
  6, 11,  0.791
  6, 12,  0.847
  8,  7,  0.235
  7,  9,  0.481
  6, 13,  0.893
  6, 14,  0.924
  8,  8,  0.295
  6, 15,  0.951
  6, 16,  0.969
  7, 10,  0.556
  8,  9,  0.360
  7, 11,  0.634
  7, 12,  0.702
  8, 10,  0.427
  7, 13,  0.761
  7, 14,  0.809
  8, 11,  0.492
  7, 15,  0.854
